,MNN_ID,MNN_NAME,MNN_CODE
0,53,Силденафил,sildenafil
7,248,Цинка оксид,tsinka_oksid
8,82,Прамипексол,pramipeksol
10,710,Клиндамицин,klindamitsin
13,677,Напроксен,naproksen
14,1318,Иммуноглобулин антитимоцитарный,immunoglobulin_antitimotsitarnyy
15,741,Гвайфенезин,gvayfenezin
16,123,Оксиметазолин,oksimetazolin
17,616,"Парацетамол, Фенилэфрин, Хлорфенамин",paratsetamol_fenilefrin_khlorfenamin
18,797,Фенилэфрин,fenilefrin
19,1571,Миконазол,mikonazol
20,1380,"Кальция карбонат, Колекальциферол,  Медь оксид, Натрия борат, Цинка оксид, Марганец сульфат",kaltsiya_karbonat_kolekaltsiferol_med_oksid_natriya_borat_tsinka_oksid_marganets_sulfat
21,693,Витамин Е,vitamin_e
22,622,"Кальция карбонат, Колекальциферол",kaltsiya_karbonat_kolekaltsiferol
24,297,"Поливитамины, Минералы",polivitaminy_mineraly
34,23,Ацетилсалициловая кислота,atsetilsalitsilovaya_kislota
35,443,Цефотаксим,tsefotaksim
36,556,"Цефоперазон, [Сульбактам]",tsefoperazon_sulbaktam
37,941,Алоэ древовидного листья,aloe_drevovidnogo_listya
38,330,Раувольфии алкалоиды,rauvolfii_alkaloidy
39,176,Иммуноглобулин человека нормальный,immunoglobulin_cheloveka_normalnyy
40,474,Аллопуринол,allopurinol
42,16,Инозин,inozin
43,134,Кальция глюконат,kaltsiya_glyukonat
44,1466,Ландыша листьев гликозид,landysha_listev_glikozid
45,946,Алтея лекарственного травы экстракт,alteya_lekarstvennogo_travy_ekstrakt
46,1813,Строфантин К,strofantin_k
47,80,"Душицы тр.экстр, Клещевины сем масло, Моркови семян экстт, Мяты лист.масло, Пихты масло, Хмеля экстр.",dushitsy_tr_ekstr_kleshcheviny_sem_maslo_morkovi_semyan_ekstt_myaty_list_maslo_pikhty_maslo_khmelya_ekstr
48,1825,Сумма флавоноидов Бессмертника песчанного,summa_flavonoidov_bessmertnika_peschannogo
49,1990,Эвкалипта листьев экстракт,evkalipta_listev_ekstrakt
50,292,Менадиона натрия бисульфит,menadiona_natriya_bisulfit
51,241,Неостигмина метилсульфат,neostigmina_metilsulfat
52,905,Трифосаденин,trifosadenin
53,730,Фуросемид,furosemid
54,1816,Суксаметония йодид,suksametoniya_yodid
55,41,"Ацетилсалициловая кислота, Кофеин, Парацетамол",atsetilsalitsilovaya_kislota_kofein_paratsetamol
56,1446,Кремния диоксид коллоидный,kremniya_dioksid_kolloidnyy
58,230,Мебгидролин,mebgidrolin
59,1641,Ортосифона тычиночного листья,ortosifona_tychinochnogo_listya
60,92,Ихтаммол,ikhtammol
61,1154,Гемин,gemin
62,528,Левоноргестрел,levonorgestrel
63,1530,Спираль с медью,spiral_s_medyu
64,527,Тамоксифен,tamoksifen
67,1414,Клодроновая кислота,klodronovaya_kislota
69,1226,Дексаметазон,deksametazon
70,674,Кромоглициевая кислота,kromoglitsievaya_kislota
71,745,"Пилокарпин, Тимолол",pilokarpin_timolol
73,11,Тимолол,timolol
75,763,"Аденозин, Никотинамид, Цитохром С",adenozin_nikotinamid_tsitokhrom_s
76,148,Кларитромицин,klaritromitsin
77,159,Гинкго двулопастного листьев экстракт,ginkgo_dvulopastnogo_listev_ekstrakt
80,178,Макрогол,makrogol
82,342,Смектит диоктаэдрический,smektit_dioktaedricheskiy
83,1181,"Гинкго Билоба, Троксерутин",ginkgo_biloba_trokserutin
84,1180,"Гинкго Билоба, Гептаминол, Троксерутин",ginkgo_biloba_geptaminol_trokserutin
85,689,Гиосцина бутилбромид,giostsina_butilbromid
86,307,Бисакодил,bisakodil
88,703,Пиклоксидин,pikloksidin
89,44,Гемцитабин,gemtsitabin
91,645,Инсулин растворимый человеческий генно-инженерный,insulin_rastvorimyy_chelovecheskiy_genno_inzhenernyy
93,646,Инсулин двуфазный (человеческий генно-инженерный),insulin_dvufaznyy_chelovecheskiy_genno_inzhenernyy
95,121,Инсулин-изофан человеческий генно-инженерный,insulin_izofan_chelovecheskiy_genno_inzhenernyy
97,1463,Инсулин лизпро,insulin_lizpro
98,701,Оксибутинин,oksibutinin
99,1037,Высушенный порошк бактерий штамма Bacillus cereus,vysushennyy_poroshk_bakteriy_shtamma_bacillus_cereus
100,452,Рокситромицин,roksitromitsin
101,1439,"Кофеин, Парацетамол, Пропифеназон",kofein_paratsetamol_propifenazon
102,1574,Минералы,mineraly
104,1381,"Кальция карбонат, Магния карбонат",kaltsiya_karbonat_magniya_karbonat
106,144,Карбоцистеин,karbotsistein
108,293,Бензалкония хлорид,benzalkoniya_khlorid
109,332,"Неомицин, Нистатин, Полимиксин B",neomitsin_nistatin_polimiksin_b
110,636,Пирантел,pirantel
113,713,Тенонитрозол,tenonitrozol
114,2091,"Железа глюконат, Марганца глюконат, Меди глюконат",zheleza_glyukonat_margantsa_glyukonat_medi_glyukonat
117,1984,Цитруллина Малат,tsitrullina_malat
118,1781,Сахаромицеты Boulardil,sakharomitsety_boulardil
121,456,Биклотимол,biklotimol
122,1069,"Биклотимол, Эноксолон, Лизонцим",biklotimol_enoksolon_lizontsim
123,1654,Парацетамол,paratsetamol
125,782,"Парацетамол, Фенирамин, Аскорбиновая кислота",paratsetamol_feniramin_askorbinovaya_kislota
127,2023,Дорзоламид,dorzolamid
128,77,"Дорзоламид, Тимолол",dorzolamid_timolol
129,1660,"Парацетамол, Хлорфенамин, [Аскорбиновая кислота]",paratsetamol_khlorfenamin_askorbinovaya_kislota
131,208,Поливитамины,polivitaminy
134,1523,"Подорожника экстр, Мать-и-мачехи экстр, Мятное масло, Эвкалиптовое масло",podorozhnika_ekstr_mat_i_machekhi_ekstr_myatnoe_maslo_evkaliptovoe_maslo
135,1002,"Аскорбиновая кислота, Кальция карбонат",askorbinovaya_kislota_kaltsiya_karbonat
137,598,"Алгелдрат, Магния гидроксид",algeldrat_magniya_gidroksid
139,1947,"Тетракаин, Хлоргексидин, Аскорбиновая кислота",tetrakain_khlorgeksidin_askorbinovaya_kislota
140,1989,Шалфея лек. листьев экстракт,shalfeya_lek_listev_ekstrakt
141,117,Флуконазол,flukonazol
148,520,Винорелбин,vinorelbin
149,1649,Пальмы ползучей плодов экстр.,palmy_polzuchey_plodov_ekstr
150,1750,Рибосомы бактериальные,ribosomy_bakterialnye
153,2064,Вакцина для профилактики менингококковых инфекций,vaktsina_dlya_profilaktiki_meningokokkovykh_infektsiy
154,471,Вакцина для профилактики вирусного гепатита А,vaktsina_dlya_profilaktiki_virusnogo_gepatita_a
155,1101,Вакцина для профилактики пневмококковых инфекций,vaktsina_dlya_profilaktiki_pnevmokokkovykh_infektsiy
156,1100,Вакцина для профилактики инфекций вызываемых Haemophilus Influenzae,vaktsina_dlya_profilaktiki_infektsiy_vyzyvaemykh_haemophilus_influenzae
158,828,Вакцина для профилактики полиомиелита,vaktsina_dlya_profilaktiki_poliomielita
159,1476,Ленограстим,lenograstim
160,27,Метронидазол,metronidazol
161,625,Спирамицин,spiramitsin
163,449,Эноксапарин натрия,enoksaparin_natriya
169,568,"Пиперонил бутоксид, Эсбиол",piperonil_butoksid_esbiol
170,715,Амиодарон,amiodaron
172,481,Вальпроевая кислота,valproevaya_kislota
177,410,Дисульфирам,disulfiram
178,1512,"Магний, Пиридоксин",magniy_piridoksin
180,1590,Надропарин кальция,nadroparin_kaltsiya
182,1809,Лизаты бактерий,lizaty_bakteriy
183,1252,Дилтиазем,diltiazem
184,174,Индапамид,indapamid
185,1918,Фенспирид,fenspirid
187,1939,Фузафунгин,fuzafungin
189,1160,"Гесперидин, Диосмин",gesperidin_diosmin
191,1684,Пинаверия бромид,pinaveriya_bromid
193,40,Сульпирид,sulpirid
196,611,Алфузозин,alfuzozin
197,594,Бетаксолол,betaksolol
198,122,Нифуроксазид,nifuroksazid
200,361,Атенолол,atenolol
201,1172,"Гидроталцит, Магния гидроксид",gidrotaltsit_magniya_gidroksid
203,116,Диклофенак,diklofenak
204,14,Азитромицин,azitromitsin
209,1846,Терлипрессин,terlipressin
210,739,Натрия пикосульфат,natriya_pikosulfat
211,99,Нафазолин,nafazolin
212,1948,Хлорнитрофенол,khlornitrofenol
213,249,"Бутамират, Гвайфенезин",butamirat_gvayfenezin
214,1612,"Антазолин, Нафазолин",antazolin_nafazolin
215,1436,"Пигменты корня куркумы, франгулоэмодин, эфирных масла -эвкалиптовое, мятное, магния салицилат",pigmenty_kornya_kurkumy_franguloemodin_efirnykh_masla_evkaliptovoe_myatnoe_magniya_salitsilat
216,100,"Дигидроэргокристин, Эскулин, Рутозид",digidroergokristin_eskulin_rutozid
217,573,"Ундециленовая кислота, Ундециленат цинка",undetsilenovaya_kislota_undetsilenat_tsinka
218,546,Хлорпротиксен,khlorprotiksen
219,648,Гепариноид,geparinoid
221,508,Изосорбида мононитрат,izosorbida_mononitrat
